Main Name	DrugBank:Identifiers	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
desvenlafaxine	{'cas-number': '93413-62-8', 'ChEBI': '83527', 'ChEMBL': 'CHEMBL1118', 'drugbank-id': 'DB06700', 'InChIKey': 'KYYIDSXMWOZKMP-UHFFFAOYSA-N', 'PubChem Compound': '125017', 'PubChem Substance': '99443254', 'unii': 'NG99554ANW'}	6	0.9947910187	0.809410056	0.0332870008	0.0593383003	0.0097013513	0.0068041277	{'oral'}	TRUE	TRUE	TRUE
escitalopram	{'cas-number': '128196-01-0', 'ChEBI': '36791', 'ChEMBL': 'CHEMBL1508', 'drugbank-id': 'DB01175', 'InChIKey': 'WSEQXVZVJXJVFP-FQEVSTJZSA-N', 'PubChem Compound': '146570', 'PubChem Substance': '46507040', 'unii': '4O4S742ANY'}	6	0.9933702336	0.9620053659	0.1783148439	0.1387503863	0.025194368	0.0036795028	{'oral'}	TRUE	TRUE	TRUE
fluoxetine	{'cas-number': '54910-89-3', 'ChEBI': '86990', 'ChEMBL': 'CHEMBL41', 'drugbank-id': 'DB00472', 'InChIKey': 'RTHCYVBBDHJXIQ-UHFFFAOYSA-N', 'PubChem Compound': '3386', 'PubChem Substance': '46507902', 'unii': '01K63SUP8D'}	6	0.9964001261	0.9584307697	0.4218854223	0.1507583697	0.2429653033	0.1805417506	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
gabapentin	{'cas-number': '60142-96-3', 'ChEBI': '42797', 'ChEMBL': 'CHEMBL940', 'drugbank-id': 'DB00996', 'InChIKey': 'UGJMXCAKCUNAIE-UHFFFAOYSA-N', 'PubChem Compound': '3446', 'PubChem Substance': '46506529', 'unii': '6CW7F3G59X'}	6	0.9949511682	0.9167903331	0.0078341423	0.1078927868	0.0055762987	0.0137754851	{'topical', 'not applicable', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
glutamic acid	{'cas-number': '56-86-0', 'ChEBI': '16015', 'ChEMBL': 'CHEMBL575060', 'drugbank-id': 'DB00142', 'InChIKey': 'WHUUTDBJXJRKMK-VKHMYHEASA-N', 'PubChem Compound': '33032', 'PubChem Substance': '46505816', 'unii': '3KX376GY7L'}	6	0.9730797613	0.5129646899	0.0080917982	0.1406333591	0.0006902313	0.0062250351	{'topical', 'intravenous', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
hydroxyzine	{'cas-number': '68-88-2', 'ChEBI': '5818', 'ChEMBL': 'CHEMBL896', 'drugbank-id': 'DB00557', 'InChIKey': 'ZQDWXGKKHFNSQK-UHFFFAOYSA-N', 'PubChem Compound': '3658', 'PubChem Substance': '46508556', 'unii': '30S50YM8OG'}	6	0.9942232344	0.9127730683	0.7291650511	0.0760412384	0.1584057209	0.1878095191	{'sublingual', 'intramuscular', 'oral'}	TRUE	TRUE	TRUE
iron	{'cas-number': '7439-89-6', 'ChEBI': '18248', 'ChEMBL': None, 'drugbank-id': 'DB01592', 'InChIKey': 'XEEYBQQBJWHFJM-UHFFFAOYSA-N', 'PubChem Compound': '23925', 'PubChem Substance': '46509190', 'unii': 'E1UOL152H7'}	6	0.9920440006	0.9462074751	0.0243982034	0.1188098802	0.0049110251	0.0051183092	{'topical', 'oral'}	TRUE	TRUE	TRUE
magnesium oxide	{'cas-number': '1309-48-4', 'ChEBI': '31794', 'ChEMBL': 'CHEMBL1200572', 'drugbank-id': 'DB01377', 'InChIKey': 'AXZKOIWUVFPNLO-UHFFFAOYSA-N', 'PubChem Compound': '14792', 'PubChem Substance': '46504815', 'unii': '3A3U0GI71G'}	6	0.9917731801	0.9463019302	0.0201474446	0.1253683856	0.0049774807	0.0068563802	{'topical', 'not applicable', 'irrigation', 'oral'}	TRUE	TRUE	TRUE
metformin	{'cas-number': '657-24-9', 'ChEBI': '6801', 'ChEMBL': 'CHEMBL1431', 'drugbank-id': 'DB00331', 'InChIKey': 'XZWYZXLIPXDOLR-UHFFFAOYSA-N', 'PubChem Compound': '4091', 'PubChem Substance': '46507752', 'unii': '9100L32L2N'}	6	0.9711515714	0.6405290761	0.0299544577	0.0779986519	0.0032646198	0.0030989068	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
metoprolol	{'cas-number': '51384-51-1', 'ChEBI': '6904', 'ChEMBL': 'CHEMBL13', 'drugbank-id': 'DB00264', 'InChIKey': 'IUBSYMUCCVWXPE-UHFFFAOYSA-N', 'PubChem Compound': '4171', 'PubChem Substance': '46506211', 'unii': 'GEB06NHM23'}	6	0.9956387745	0.8465716479	0.0646611352	0.0883883672	0.0648173563	0.021937971	{'not applicable', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
oseltamivir	{'cas-number': '196618-13-0', 'ChEBI': '7798', 'ChEMBL': 'CHEMBL1229', 'drugbank-id': 'DB00198', 'InChIKey': 'VSZGPKBBMSAYNT-RRFJBIMHSA-N', 'PubChem Compound': '65028', 'PubChem Substance': '46507602', 'unii': '20O93L6F9H'}	6	0.9942805098	0.8491089457	0.0401154727	0.2192931539	0.0456702576	0.0284280219	{'oral'}	TRUE	TRUE	TRUE
propranolol	{'cas-number': '525-66-6', 'ChEBI': '8499', 'ChEMBL': 'CHEMBL27', 'drugbank-id': 'DB00571', 'InChIKey': 'AQHHHDLHHXJYJD-UHFFFAOYSA-N', 'PubChem Compound': '4946', 'PubChem Substance': '46505387', 'unii': '9Y8NXQ24VQ'}	6	0.9963829418	0.6028237075	0.1423310062	0.1399007758	0.4224926616	0.0483986744	{'intravenous', 'oral'}	TRUE	TRUE	TRUE
pyridoxine	{'cas-number': '65-23-6', 'ChEBI': '16709', 'ChEMBL': 'CHEMBL1364', 'drugbank-id': 'DB00165', 'InChIKey': 'LXNHXLLTXMVWPM-UHFFFAOYSA-N', 'PubChem Compound': '1054', 'PubChem Substance': '46508560', 'unii': 'KV2JZ1BI6Z'}	6	0.9864176723	0.6089579299	0.0238434105	0.1069265592	0.0082446823	0.005849196	{'topical', 'ophthalmic', 'intramuscular', 'dental', 'cutaneous', 'transdermal', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
triamcinolone	{'cas-number': '124-94-7', 'ChEBI': '9667', 'ChEMBL': 'CHEMBL1451', 'drugbank-id': 'DB00620', 'InChIKey': 'GFNANZIMVAIWHM-OBYCQNJPSA-N', 'PubChem Compound': '31307', 'PubChem Substance': '46507950', 'unii': '1ZK20VI6TY'}	6	0.9874542498	0.5382120628	0.1016503443	0.2060012842	0.0419561321	0.0024840833	{'intravascular', 'dental', 'parenteral', 'epidural', 'intralesional', 'intravenous', 'nasal', 'intramuscular', 'perineural', 'intradermal', 'oral', 'intrathecal', 'ophthalmic', 'buccal', 'intrasynovial', 'intra-articular', 'intravitreal', 'topical', 'intra-arterial', 'intracaudal', 'subcutaneous', 'respiratory (inhalation)', 'intrabursal', 'soft tissue', 'infiltration', 'periarticular'}	TRUE	TRUE	TRUE
atomoxetine	{'cas-number': '83015-26-3', 'ChEBI': '127342', 'ChEMBL': 'CHEMBL641', 'drugbank-id': 'DB00289', 'InChIKey': 'VHGCDTVCOLNTBX-QGZVFWFLSA-N', 'PubChem Compound': '54841', 'PubChem Substance': '46506160', 'unii': 'ASW034S0B8'}	5	0.9964816818	0.9487553435	0.1911493634	0.1279725354	0.0409701797	0.0293297353	{'oral'}	TRUE	TRUE	TRUE
calcitriol	{'cas-number': '32222-06-3', 'ChEBI': '17823', 'ChEMBL': 'CHEMBL846', 'drugbank-id': 'DB00136', 'InChIKey': 'GMRQFYUYWCNGIN-NKMMMXOESA-N', 'PubChem Compound': '5280453', 'PubChem Substance': '46508162', 'unii': 'FXC9231JVH'}	5	0.9939736994	0.654870169	0.5502206376	0.078336732	0.059725113	0.0595574329	{'topical', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
captopril	{'cas-number': '62571-86-2', 'ChEBI': '3380', 'ChEMBL': 'CHEMBL1560', 'drugbank-id': 'DB01197', 'InChIKey': 'FAKRSMQSSFJEIM-RQJHMYQMSA-N', 'PubChem Compound': '44093', 'PubChem Substance': '46506879', 'unii': '9G64RSX1XD'}	5	0.9882524703	0.8258138684	0.0117413753	0.3662746045	0.0003191914	0.0017843374	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
cholecalciferol	{'cas-number': '67-97-0', 'ChEBI': '28940', 'ChEMBL': 'CHEMBL1042', 'drugbank-id': 'DB00169', 'InChIKey': 'QYSXJUFSXHHAJI-YRZJJWOYSA-N', 'PubChem Compound': '5280795', 'PubChem Substance': '46506365', 'unii': '1C6V77QF41'}	5	0.9962239643	0.7982973586	0.6662697205	0.1240301526	0.0948433035	0.0573014773	{'topical', 'intravenous', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
clindamycin	{'cas-number': '18323-44-9', 'ChEBI': '3745', 'ChEMBL': 'CHEMBL1753', 'drugbank-id': 'DB01190', 'InChIKey': 'KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'PubChem Compound': '446598', 'PubChem Substance': '46506073', 'unii': '3U02EL437C'}	5	0.8967617922	0.1318479836	0.5226873862	0.3132269302	0.0111200062	0.0015715014	{'topical', 'intramuscular', 'vaginal', 'intravenous', 'oral'}	TRUE	TRUE	FALSE
desloratadine	{'cas-number': '100643-71-8', 'ChEBI': '291342', 'ChEMBL': 'CHEMBL1172', 'drugbank-id': 'DB00967', 'InChIKey': 'JAUOIFJMECXRGI-UHFFFAOYSA-N', 'PubChem Compound': '124087', 'PubChem Substance': '46507996', 'unii': 'FVF865388R'}	5	0.9969895903	0.9528342775	0.5470874601	0.2490422026	0.1746734069	0.3811795716	{'topical', 'oral'}	TRUE	TRUE	TRUE
dextromethorphan	{'cas-number': '125-71-3', 'ChEBI': '4470', 'ChEMBL': 'CHEMBL52440', 'drugbank-id': 'DB00514', 'InChIKey': 'MKXZASYAUGDDCJ-NJAFHUGGSA-N', 'PubChem Compound': '5360696', 'PubChem Substance': '46506530', 'unii': '7355X3ROTS'}	5	0.9964811651	0.9896614586	0.0770673133	0.0554307628	0.0820331045	0.0153374687	{'topical', 'nasal', 'not applicable', 'oral'}	TRUE	TRUE	TRUE
fexofenadine	{'cas-number': '83799-24-0', 'ChEBI': '5050', 'ChEMBL': 'CHEMBL914', 'drugbank-id': 'DB00950', 'InChIKey': 'RWTNPBWLLIMQHL-UHFFFAOYSA-N', 'PubChem Compound': '3348', 'PubChem Substance': '46504676', 'unii': 'E6582LOH6V'}	5	0.983020822	0.5152772324	0.7533964371	0.0733812547	0.0277035909	0.0208268252	{'oral'}	TRUE	TRUE	TRUE
fosinopril	{'cas-number': '98048-97-6', 'ChEBI': '5163', 'ChEMBL': 'CHEMBL3039598', 'drugbank-id': 'DB00492', 'InChIKey': 'BIDNLKIUORFRQP-FLODCBCLSA-N', 'PubChem Compound': '55891', 'PubChem Substance': '46506495', 'unii': 'R43D2573WO'}	5	0.9372595226	0.6287022078	0.7496473329	0.4171265789	0.3520291221	0.2394181279	{'oral'}	TRUE	TRUE	TRUE
gemfibrozil	{'cas-number': '25812-30-0', 'ChEBI': '5296', 'ChEMBL': 'CHEMBL457', 'drugbank-id': 'DB01241', 'InChIKey': 'HEMJJKBWTPKOJG-UHFFFAOYSA-N', 'PubChem Compound': '3463', 'PubChem Substance': '46508264', 'unii': 'Q8X02027X3'}	5	0.9961581659	0.87370697	0.0268158801	0.3259057196	0.0108865723	0.1500209435	{'oral'}	TRUE	TRUE	TRUE
guaifenesin	{'cas-number': '93-14-1', 'ChEBI': '5551', 'ChEMBL': 'CHEMBL980', 'drugbank-id': 'DB00874', 'InChIKey': 'HSRJKNPTNIJEKV-UHFFFAOYSA-N', 'PubChem Compound': '3516', 'PubChem Substance': '46508004', 'unii': '495W7451VQ'}	5	0.9949353214	0.850112142	0.021636368	0.0810070848	0.0147171362	0.0066068111	{'topical', 'nasal', 'rectal', 'not applicable', 'oral'}	TRUE	TRUE	TRUE
guanfacine	{'cas-number': '29110-47-2', 'ChEBI': '5558', 'ChEMBL': 'CHEMBL862', 'drugbank-id': 'DB01018', 'InChIKey': 'INJOMKTZOLKMBF-UHFFFAOYSA-N', 'PubChem Compound': '3519', 'PubChem Substance': '46506169', 'unii': '30OMY4G3MK'}	5	0.9940558823	0.8308571865	0.0268598554	0.3408409541	0.1586584168	0.0216983875	{'oral'}	TRUE	TRUE	TRUE
levetiracetam	{'cas-number': '102767-28-2', 'ChEBI': '6437', 'ChEMBL': 'CHEMBL1286', 'drugbank-id': 'DB01202', 'InChIKey': 'HPHUVLMMVZITSG-LURJTMIESA-N', 'PubChem Compound': '5284583', 'PubChem Substance': '46508406', 'unii': '44YRR34555'}	5	0.9936802522	0.9616512049	0.0088545982	0.2446875315	0.0016980921	0.0049737579	{'not applicable', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
