Main Name	DrugBank:Identifiers	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
magnesium oxide	{'cas-number': '1309-48-4', 'ChEBI': '31794', 'ChEMBL': 'CHEMBL1200572', 'drugbank-id': 'DB01377', 'InChIKey': 'AXZKOIWUVFPNLO-UHFFFAOYSA-N', 'PubChem Compound': '14792', 'PubChem Substance': '46504815', 'unii': '3A3U0GI71G'}	❌ NO MATCH	0.9917731801	0.9463019302	0.0201474446	0.1253683856	0.0049774807	0.0068563802	{'topical', 'not applicable', 'irrigation', 'oral'}	TRUE	TRUE	TRUE
magnesium sulfate	{'cas-number': '7487-88-9', 'ChEBI': '32599', 'ChEMBL': 'CHEMBL2021423', 'drugbank-id': 'DB00653', 'InChIKey': 'CSNNHWWHGAXBCP-UHFFFAOYSA-L', 'PubChem Compound': '24083', 'PubChem Substance': '46508411', 'unii': 'ML30MJ2U7I'}	❌ NO MATCH	0.9791615648	0.8163659199	0.069858174	0.3994813604	0.001214494	0.0106488101	{'intrathecal', 'irrigation', 'topical', 'intramuscular', 'cutaneous', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
mefloquine	{'cas-number': '53230-10-7', 'ChEBI': '63681', 'ChEMBL': 'CHEMBL416956', 'drugbank-id': 'DB00358', 'InChIKey': 'XEEQGYMUWCZPDN-UHFFFAOYSA-N', 'PubChem Compound': '4046', 'PubChem Substance': '46505610', 'unii': 'TML814419R'}	❌ NO MATCH	0.9959419128	0.879317553	0.6673738895	0.211677628	0.2459921062	0.1669552337	{'oral'}	TRUE	TRUE	TRUE
palonosetron	{'cas-number': '135729-56-5', 'ChEBI': '85161', 'ChEMBL': 'CHEMBL1189679', 'drugbank-id': 'DB00377', 'InChIKey': 'CPZBLNMUGSZIPR-NVXWUHKLSA-N', 'PubChem Compound': '6337614', 'PubChem Substance': '46508530', 'unii': '5D06587D6R'}	❌ NO MATCH	0.9951031536	0.93049401	0.2303495106	0.2711919083	0.1419592913	0.0260151457	{'intravenous', 'oral'}	TRUE	TRUE	TRUE
sevelamer	{'cas-number': '52757-95-6', 'ChEBI': None, 'ChEMBL': 'CHEMBL1201798', 'drugbank-id': 'DB00658', 'InChIKey': 'ZNSIZMQNQCNRBW-UHFFFAOYSA-N', 'PubChem Compound': '3085017', 'PubChem Substance': '46505951', 'unii': '941N5DUU5C'}	❌ NO MATCH	0.9885634242	0.9387119791	0.022954159	0.1445627954	0.0039149464	0.0162135229	{'parenteral', 'oral'}	TRUE	TRUE	TRUE
solifenacin	{'cas-number': '242478-37-1', 'ChEBI': '135530', 'ChEMBL': 'CHEMBL1734', 'drugbank-id': 'DB01591', 'InChIKey': 'FBOUYBDGKBSUES-VXKWHMMOSA-N', 'PubChem Compound': '154059', 'PubChem Substance': '46506006', 'unii': 'A8910SQJ1U'}	❌ NO MATCH	0.9955130899	0.9669947427	0.6780529712	0.2344749566	0.2960505778	0.1336438384	{'oral'}	TRUE	TRUE	TRUE
acetylcysteine	{'cas-number': '616-91-1', 'ChEBI': '28939', 'ChEMBL': 'CHEMBL600', 'drugbank-id': 'DB06151', 'InChIKey': 'PWKSKIMOESPYIA-BYPYZUCNSA-N', 'PubChem Compound': '12035', 'PubChem Substance': '99443235', 'unii': 'WYQ7N0BPYC'}	6	0.9750061924	0.6884013068	0.0062169445	0.2103022993	0.00087124	0.0015382506	{'respiratory (inhalation)', 'intravenous', 'intramuscular', 'oral'}	TRUE	TRUE	TRUE
amitriptyline	{'cas-number': '50-48-6', 'ChEBI': '2666', 'ChEMBL': 'CHEMBL629', 'drugbank-id': 'DB00321', 'InChIKey': 'KRMDCWKBEZIMAB-UHFFFAOYSA-N', 'PubChem Compound': '2160', 'PubChem Substance': '46508798', 'unii': '1806D8D52K'}	6	0.9969217344	0.986974623	0.6932192991	0.1981365699	0.2581484595	0.0760936865	{'topical', 'oral'}	TRUE	TRUE	TRUE
azelaic acid	{'cas-number': '123-99-9', 'ChEBI': '48131', 'ChEMBL': 'CHEMBL1238', 'drugbank-id': 'DB00548', 'InChIKey': 'BDJRBEYXGGNYIS-UHFFFAOYSA-N', 'PubChem Compound': '2266', 'PubChem Substance': '46506284', 'unii': 'F2VW3D43YT'}	6	0.7078978633	0.7754936393	0.0081235747	0.1871451921	0.0003309446	0.0054149154	{'topical', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
betamethasone	{'cas-number': '378-44-9', 'ChEBI': '3077', 'ChEMBL': 'CHEMBL632', 'drugbank-id': 'DB00443', 'InChIKey': 'UREBDLICKHMUKA-DVTGEIKXSA-N', 'PubChem Compound': '9782', 'PubChem Substance': '46505155', 'unii': '9842X06Q6M'}	6	0.9932225293	0.7130232304	0.1704179436	0.1705295288	0.0528670516	0.0050397405	{'intravascular', 'epidural', 'intralesional', 'intravenous', 'intramuscular', 'intraspinal', 'perineural', 'intradermal', 'auricular (otic)', 'oral', 'intrathecal', 'ophthalmic', 'cutaneous', 'intra-articular', 'topical', 'rectal', 'intrabursal', 'soft tissue', 'infiltration'}	TRUE	TRUE	TRUE
