DrugBank:Main Name,Score,Pre-clinician score,DrugBank:FDA Approved,Less than $500,Pediatric Safety,Blood Brain Barrier,P-glycoprotein Inhibition,Human Intestinal Absorption,Drug Induced Liver Injury,Have It,Screened It,Rescue,Eckenrode,Martinez,Souder,Drug Type,Therapeutic Category,Targeted Symptoms,Proteins of Interest,Available on MedChem
Hydroxyzine,6,3,TRUE,TRUE,TRUE,91.27730683%,72.91650511%,99.42232344%,7.60412384%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antihistamine,Neurotransmitter modulator,,,FALSE
Loratadine,6,3,TRUE,TRUE,TRUE,72.91730937%,92.38080594%,99.67560238%,19.63821609%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antihistamine,Symptomatic relief,congenital vertical talus,,FALSE
Lovastatin,6,3,TRUE,TRUE,TRUE,86.21350857%,81.44671965%,99.37657273%,22.04560961%,TRUE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",statin,Protein of interest modulator,,RLIM,FALSE
Metformin,6,3,TRUE,TRUE,TRUE,64.05290761%,2.99544577%,97.11515714%,7.79986519%,TRUE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antidiabetic,Protein of interest modulator,,"RLIM, DLG4",FALSE
Metoprolol,6,3,TRUE,TRUE,TRUE,84.65716479%,6.46611352%,99.56387745%,8.83883672%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",beta blocker,"Protein of interest modulator, Neurotransmitter modulator",,RLIM,FALSE
Oseltamivir,6,3,TRUE,TRUE,TRUE,84.91089457%,4.01154727%,99.42805098%,21.92931539%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antiviral,Symptomatic relief,arthrogryposis multiplex congenita,,FALSE
Propranolol,6,3,TRUE,TRUE,TRUE,60.28237075%,14.23310062%,99.63829418%,13.99007758%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",beta blocker,"Protein of interest modulator, Neurotransmitter modulator",,RLIM,FALSE
Pyridoxine,6,3,TRUE,TRUE,TRUE,60.89579299%,2.38434105%,98.64176723%,10.69265592%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",vitamin,Symptomatic relief,"movement disorder, hypotonia, congenital vertical talus, dystonia, developmental delay, arthrogryposis multiplex congenita",,FALSE
Sertraline,6,3,TRUE,TRUE,TRUE,96.02892628%,28.64629205%,99.63898118%,27.0668638%,TRUE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",SSRI,"Protein of interest modulator, Neurotransmitter modulator",,RLIM,FALSE
Triamcinolone,6,3,TRUE,TRUE,TRUE,53.82120628%,10.16503443%,98.74542498%,20.60012842%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",corticosteroid,"Symptomatic relief, Protein of interest modulator","intellectual disability, atrial septal defect, congenital vertical talus, congenital laryngomalacia, dystonia",,FALSE
