DrugBank:Main Name,Score,Pre-clinician score,DrugBank:FDA Approved,Less than $500,Pediatric Safety,Blood Brain Barrier,P-glycoprotein Inhibition,Human Intestinal Absorption,Drug Induced Liver Injury,Have It,Screened It,Rescue,Eckenrode,Martinez,Souder,Drug Type,Therapeutic Category,Targeted Symptoms,Proteins of Interest,Available on MedChem
Ketamine,3,3,TRUE,TRUE,TRUE,96.12701608%,3.23468063%,99.7360902%,12.65450861%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,anesthetic,"Protein of interest modulator, Neurotransmitter modulator, Increase neuroplasticity, Increase dendritic spine density",,"RLIM, DLG4",FALSE
Levamisole,3,3,TRUE,TRUE,TRUE,96.63752294%,3.19120139%,99.50322849%,45.70114694%,FALSE,FALSE,FALSE,Not sure.,Not comfortable prescribing.,Not comfortable prescribing.,anthelmintic,Symptomatic relief,congenital vertical talus,,FALSE
Mepivacaine,3,3,TRUE,TRUE,TRUE,95.72161593%,2.77699177%,99.68730961%,13.90897649%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,anesthetic,Symptomatic relief,movement disorder,,FALSE
Misoprostol,3,3,TRUE,TRUE,TRUE,72.1472987%,47.97544826%,98.90574879%,12.11819031%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,prostaglandin analog,Neurotransmitter modulator,,,FALSE
Nalbuphine,3,3,TRUE,TRUE,TRUE,95.50057981%,3.86948937%,99.34313716%,5.95198951%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,analgesic,Protein of interest modulator,,RLIM,FALSE
Nitroglycerin,3,3,TRUE,TRUE,TRUE,68.5056524%,2.94825245%,96.3436814%,30.16741982%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,vasodilator,Symptomatic relief,,,FALSE
Oxybutynin,3,3,TRUE,TRUE,TRUE,84.73390973%,62.46449005%,99.42419982%,5.65574562%,FALSE,FALSE,FALSE,Not sure.,Not comfortable prescribing.,Not comfortable prescribing.,antimuscarinic,Symptomatic relief,dystonia,,FALSE
Oxymetazoline,3,3,TRUE,TRUE,TRUE,88.5572384%,57.17762051%,99.62165078%,18.8318037%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,decongestant,Symptomatic relief,movement disorder,,FALSE
Paricalcitol,3,3,TRUE,TRUE,TRUE,66.12812079%,52.51294996%,99.39686765%,11.2862366%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,vitamin analog,Protein of interest modulator,,"RLIM, DLG4",FALSE
Pentobarbital,3,3,TRUE,TRUE,TRUE,93.16901669%,2.29792609%,99.33293597%,42.2990636%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,barbiturate,"Protein of interest modulator, Neurotransmitter modulator",,DLG4,FALSE
Perphenazine,3,3,TRUE,TRUE,TRUE,98.99062487%,85.92663344%,99.55163938%,48.30721924%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,antipsychotic,Neurotransmitter modulator,,,FALSE
Phenoxybenzamine,3,3,TRUE,TRUE,TRUE,69.88110113%,23.87528927%,99.69430489%,19.46930057%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,alpha blocker,Neurotransmitter modulator,,,FALSE
Phentolamine,3,3,TRUE,TRUE,TRUE,75.20855714%,22.19936838%,99.54271589%,22.71485286%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,vasodilator,Symptomatic relief,developmental delay,,FALSE
Pilocarpine,3,3,TRUE,TRUE,TRUE,86.99254342%,2.98136803%,99.40640605%,29.12297216%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,cholinergic agonist,Protein of interest modulator,,DLG4,FALSE
Praziquantel,3,3,TRUE,TRUE,TRUE,96.57708695%,14.34812088%,99.61404791%,30.02681173%,FALSE,FALSE,FALSE,Not sure.,Not comfortable prescribing.,Not comfortable prescribing.,anthelmintic,Symptomatic relief,coronal craniosynostosis,,FALSE
Primaquine,3,3,TRUE,TRUE,TRUE,88.60770093%,5.67667008%,99.5714879%,22.44215726%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,antiprotozoal,Symptomatic relief,congenital vertical talus,,FALSE
Primidone,3,3,TRUE,TRUE,TRUE,92.92865703%,1.35331912%,99.38060534%,28.19771311%,FALSE,FALSE,FALSE,Not sure.,Not sure.,Not comfortable prescribing.,barbiturate,"Neurotransmitter modulator, Symptomatic relief",movement disorder,,FALSE
Procaine,3,3,TRUE,TRUE,TRUE,94.6127845%,1.89073222%,99.55024216%,15.7436328%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,anesthetic,Neurotransmitter modulator,,,FALSE
Propofol,3,3,TRUE,TRUE,TRUE,95.44031522%,4.38904852%,99.57268701%,13.78811793%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,anesthetic,"Protein of interest modulator, Neurotransmitter modulator",,RLIM,FALSE
Pyridostigmine,3,3,TRUE,TRUE,TRUE,93.07588129%,1.73696273%,98.62945272%,28.02633548%,FALSE,FALSE,FALSE,Not sure.,Not sure.,Not comfortable prescribing.,AChE inhibitor,"Symptomatic relief, Neurotransmitter modulator",neuromuscular junction disease,,FALSE
Quinine,3,3,TRUE,TRUE,TRUE,78.29501185%,70.78066486%,99.60343636%,38.09571857%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,antimalarial,Protein of interest modulator,,RLIM,FALSE
Remifentanil,3,3,TRUE,TRUE,TRUE,93.54470715%,26.29528068%,99.12763253%,15.89155253%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,analgesic,Neurotransmitter modulator,,,FALSE
Rivastigmine,3,3,TRUE,TRUE,TRUE,96.77204816%,1.76169585%,99.50578349%,12.75095874%,TRUE,FALSE,FALSE,Not sure.,Not sure.,Not comfortable prescribing.,AChE inhibitor,"Protein of interest modulator, Neurotransmitter modulator",,DLG4,FALSE
Ropivacaine,3,3,TRUE,TRUE,TRUE,96.4700856%,3.55389117%,99.65319973%,12.53456586%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,anesthetic,Neurotransmitter modulator,,,FALSE
Sevoflurane,3,3,TRUE,TRUE,TRUE,95.94625525%,3.15225436%,99.21255258%,18.1335672%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,anesthetic,"Protein of interest modulator, Neurotransmitter modulator",,"RLIM, DLG4",FALSE
Timolol,3,3,TRUE,TRUE,TRUE,75.59844359%,4.23648383%,99.41138651%,40.93088576%,FALSE,FALSE,FALSE,Not sure.,Not comfortable prescribing.,Not comfortable prescribing.,beta blocker,"Neurotransmitter modulator, Symptomatic relief",esotropia,,FALSE
Tramadol,3,3,TRUE,TRUE,TRUE,95.42428227%,4.47074216%,99.70279299%,7.814469%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,analgesic,Neurotransmitter modulator,,,FALSE
Tropicamide,3,3,TRUE,TRUE,TRUE,88.53902881%,4.14162144%,99.54367254%,40.29896469%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,antimuscarinic,"Neurotransmitter modulator, Symptomatic relief",esotropia,,FALSE
Vigabatrin,3,3,TRUE,TRUE,TRUE,72.80919306%,1.28722368%,98.5614981%,8.13840635%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,antiepileptic,Neurotransmitter modulator,,,FALSE
