Main Name	search term	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
cyproheptadine	['generalized dystonia', 'neurodevelopmental disorder', 'cerebral atrophy', 'inborn disorder of neurotransmitter metabolism and transport']	6	0.9953253268	0.9843415362	0.8798690186	0.2946239781	0.3488762419	0.1334409235	{'oral', 'not applicable'}	1	TRUE	TRUE
desvenlafaxine	['axonal neuropathy', 'autism']	6	0.9947910187	0.809410056	0.0332870008	0.0593383003	0.0097013513	0.0068041277	{'oral'}	1	TRUE	TRUE
escitalopram	['movement disorder', 'cerebellar ataxia', 'spag9 (human)', 'neurodevelopmental disorder', 'autism', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'axonal neuropathy']	6	0.9933702336	0.9620053659	0.1783148439	0.1387503863	0.025194368	0.0036795028	{'oral'}	1	TRUE	TRUE
gabapentin	['movement disorder', 'cerebellar ataxia', 'intellectual disability', 'spasticity', 'neurodevelopmental disorder', 'spastic diplegia', 'ntrk2 (human)', 'autism', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'axonal neuropathy']	6	0.9949511682	0.9167903331	0.0078341423	0.1078927868	0.0055762987	0.0137754851	{'not applicable', 'cutaneous', 'oral', 'topical'}	1	TRUE	TRUE
glutamic acid	['lrrk2 (human)', 'neurodevelopmental disorder', 'ntrk2 (human)', 'autism', 'axonal neuropathy', 'intellectual disability']	6	0.9730797613	0.5129646899	0.0080917982	0.1406333591	0.0006902313	0.0062250351	{'cutaneous', 'oral', 'topical', 'intravenous'}	1	TRUE	TRUE
hydroxyzine	['inborn disorder of neurotransmitter metabolism and transport', 'axonal neuropathy']	6	0.9942232344	0.9127730683	0.7291650511	0.0760412384	0.1584057209	0.1878095191	{'intramuscular', 'sublingual', 'oral'}	1	TRUE	TRUE
metformin	['increased reactive oxygen species production', 'lrrk2 (human)', 'movement disorder', 'drd2 (human)', 'cerebellar ataxia', 'intellectual disability', 'spag9 (human)', 'neurodevelopmental disorder', 'spastic diplegia', 'ntrk2 (human)', 'neuroinflammation', 'autism', 'inborn disorder of neurotransmitter metabolism and transport', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	6	0.9711515714	0.6405290761	0.0299544577	0.0779986519	0.0032646198	0.0030989068	{'oral', 'not applicable'}	1	TRUE	TRUE
metoprolol	['increased reactive oxygen species production', 'movement disorder', 'autism', 'axonal neuropathy', 'inborn disorder of neurotransmitter metabolism and transport', 'intellectual disability']	6	0.9956387745	0.8465716479	0.0646611352	0.0883883672	0.0648173563	0.021937971	{'oral', 'not applicable', 'intravenous'}	1	TRUE	TRUE
oseltamivir	['neuroinflammation', 'ntrk2 (human)']	6	0.9942805098	0.8491089457	0.0401154727	0.2192931539	0.0456702576	0.0284280219	{'oral'}	1	TRUE	TRUE
propranolol	['lrrk2 (human)', 'movement disorder', 'cerebellar ataxia', 'neurodevelopmental disorder', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'autism', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	6	0.9963829418	0.6028237075	0.1423310062	0.1399007758	0.4224926616	0.0483986744	{'oral', 'intravenous'}	1	TRUE	TRUE
